rang,portal,bereichstyp,status,active_package,website_status,notes
0,"SDG-/SDG+-Referenz, Glossar, Online-Volltext-Template",Grundlagen,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
1,Produkte & Konsum / Wirkungsumsatzsteuer,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
2,Impact Controlling / T-SROI / WÖk-IDs / Scorecards,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
3,"Staat, Recht & Demokratie / WStG / Wirkungsrat",Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
4,Wirtschaft & Unternehmen,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
5,Wohnen & Stadt,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
6,Arbeit & Einkommen / Automatisierung,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
7,Rente & soziale Sicherung,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
8,Bildung / Wirkungsschule,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
9,"Medien, Social Media & Journalismus",Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
10,Gesundheit & Pflege,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
11,"Wissenschaft, Innovation & Digitalisierung",Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
12,Finanzsystem & Kapital,Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
13,"Klima, Energie & Ressourcen",Fachportal,Bestand pruefen / nachliefern,,Fachteam-Integration und QA erforderlich,"Website 1.0 erst nach Linkcheck, Downloadcheck, Mobile-QA und Sichtpruefung freigeben."
