Paket;Phase;Phasentitel;Rang;Primärer Bereich;Anzahl Detailkonzepte;Detailkonzepte;Empfohlener Go;Hinweis
1;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;3;SDGs und Agenda 2030 als globaler Referenzrahmen | SDG+ als Erweiterung der Wirkungsökonomie | SDG-Unterziele global, Europa und Deutschland;Go 3;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
2;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;2;Geschichte der SDGs, Vorlaeufer und Verhandlungsprozess | SDGs als Risikomanagement und Finanzmarkt-Anschluss;Go 4;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
3;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;3;Produkte als Wirkungsträger | Produktbesteuerung durch Wirkung | Wirkungsumsatzsteuer WUStG;Go 5;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
4;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;2;Lieferketten und Vorsteuerlogik | Verbraucherinformation und Wirkungspunkte;Go 6;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
5;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;3;Staat als Wirkungsarchitektur | Wirkungssteuergesetz WStG als Rahmengesetz | Wirkungsrat und Governance;Go 7;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
6;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;3;Wirkungshaushalt und öffentliche Mittel | Rechtsschutz, Verhältnismäßigkeit und Grundrechte | Wirkungsprüfung von Gesetzen;Go 8;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
7;Phase 3;Recht, Staat & demokratische Sicherung;3;Staat, Recht & Demokratie / WStG / Wirkungsrat;1;Demokratie, Rechtsstaat und SDG+;Go 9;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
8;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;3;Kapitalwirkung statt Kapitalrendite | Wirkungsfonds als Dacharchitektur | Banken, Wirkungskredite und EBA-Anschluss;Go 10;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
9;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;3;Versicherungen, Versicherbarkeit und Resilienz | Portfolio-Wirkungsrating und Kapitalwirkungsindex | Steuer- und Abgabenarchitektur des Kapitals;Go 11;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
10;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;3;Automatisierungsdividende und Maschinenwertschöpfung | Wirkungsaufsicht, Kapitalmissbrauch und toxische Finanzprodukte | ESG-Ratings, Börsen und Impact Exchange;Go 12;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
11;Phase 4;Finanzsystem, Wirkungsfonds & Steuerarchitektur;12;Finanzsystem & Kapital;2;Bürger:innenfonds, Wirkungsrente und Teilhabe am Kapital | Finanzkompetenz 2.0 und demokratische Kontrolle;Go 13;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
12;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;3;Unternehmen als Wirkungssysteme | Wirkungsorientierte Unternehmensführung | Impact Controlling im Unternehmen;Go 14;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
13;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;3;Risikomanagement und Wirkungsrisiko | Resiliente Wertschöpfungsketten | Einkauf, Lieferketten und Due Diligence;Go 15;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
14;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;3;Finanzmarktanforderungen, Banken, ESG-Ratings und Versicherungen | Produktentwicklung und Produktscorecards | Wirkungsorientierte Mitarbeiterführung;Go 16;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
15;Phase 5;Wirtschaft & Unternehmen;4;Wirtschaft & Unternehmen;2;Organisation, Kultur und Wirkungskompetenz | Marketing und das fünfte P Planet;Go 17;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
16;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;3;Automatisierung und Maschinenleistung | Wirkungseinkommen | Wirkungseinkommensteuer WEstG;Go 18;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
17;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;3;Sozialabgaben-Entkopplung | Maschinenwertschöpfungsbeitrag | Wirkungsdividende und Wirkungsfonds;Go 19;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
18;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;3;Arbeit, Einkommen und Wirkung | Care, Bildung, Ehrenamt und Wirkleistung | Übergang, Qualifizierung und Resilienz;Go 20;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
19;Phase 6;Arbeit, Einkommen & Automatisierung;6;Arbeit & Einkommen / Automatisierung;1;Plattformen, Daten, KI und Arbeit;Go 21;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
20;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;3;Wirkungsrente und Lebenswirkungs-Konto | Wirkungsfonds Alters- und Sozialstabilität | Demografische Resilienz und Automatisierung;Go 22;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
21;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;3;Übergang vom Umlagesystem zur Wirkungsarchitektur | Private und betriebliche Vorsorge unter Wirkungsbedingungen | Altersarmut, Teilhabe, Gesundheit und Wohnen im Alter;Go 23;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
22;Phase 7;Rente & soziale Sicherung;7;Rente & soziale Sicherung;1;Lebensleistung, Care und Ehrenamt;Go 24;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
23;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;3;Investor:innen, Vermieter:innen und Eigentümer:innen | Miete und Bezahlbarkeit | Spekulationsschutz und Bodenpolitik;Go 25;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
24;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;3;Sanierung, Energie und Warmmietenneutralität | Stranded Assets im Wohnungsmarkt | Wohnen als Wirkungsraum;Go 26;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
25;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;2;Gebäude- und Quartierswirkung | Kommunale Wohnungspolitik und Wohnwirkungshaushalt;Go 27;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
26;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;3;Bildung als Wirkungsinfrastruktur | Die Wirkungsschule | Wirkungspädagogik;Go 28;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
27;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;3;Fach oder Lernfeld Zukunft | Bewertung, Noten und Wirkungsportfolio | Wirkungsförderung und Nachhilfe ausserhalb der Schule;Go 29;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
28;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;3;Fächer neu denken und vernetzen | Digitale Mündigkeit und KI-Kompetenz | Demokratie-, Medien- und Wirkungskompetenz;Go 30;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
29;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;3;Schule als Lebens-, Gesundheits- und Wirkungsraum | Inklusion, Vielfalt, Migration und Begabung | Lehrkräfte, Schulleitung, Teams und Bildungsnetzwerke;Go 31;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
30;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;3;Medien und Öffentlichkeit als Wirkungsraum | Journalismus Wirkung statt Klicks | Plattformen und Social Media;Go 32;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
31;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;3;Sprache, Frames und Diskurskultur | Desinformation, Deepfakes und hybride Einflussnahme | Algorithmische Verstärkung und Aufmerksamkeitsökonomie;Go 33;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
32;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;3;Medienrecht, Plattformaufsicht und digitale Grundrechte | Resiliente Öffentlichkeit und Krisenkommunikation | Politische Kommunikation, Wahlkampf und öffentliche Verantwortung;Go 34;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
33;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;3;Creator:innen, Hosts und Influencer:innen | Medienkompetenz, Quellenklarheit und Wirkungskompetenz | Medienvielfalt, Lokaljournalismus und Finanzierung;Go 35;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
34;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;3;Gesundheit als gesellschaftliches Wirkungsfeld | Prävention, Gesundheitskassen und Wirkungshaushalt | Pflege als Wirkleistung und Pflegeökosystem;Go 36;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
35;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;3;Versorgungsräume, Kliniken und Gesundheitsnetzwerke | Psychische Gesundheit und soziale Stabilität | Gesundheitsdaten, KI und Bürgerkontrolle;Go 37;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
36;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;3;Finanzierung, Wirkungsfonds und Gesundheitskassen | Gesundheitsgerechtigkeit, Inklusion und Migration | One Health, Klima, Umwelt und Ernährung;Go 38;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
37;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;2;Arbeitswelt, Unternehmen und Gesundheitswirkung | Fachkräfte, Migration, Robotik und Pflegeentlastung;Go 39;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
38;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;3;Wissenschaft als Wirkungsinfrastruktur | Open Science, Replikation und Forschungsintegrität | Wirkungsorientierte Forschung und Missionen;Go 40;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
39;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;3;Innovation als Systemlernen und Transfer | KI und algorithmische Verantwortung | Datenräume, Interoperabilität und Wirkungsdaten;Go 41;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
40;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;3;Digitale öffentliche Infrastruktur und Souveränität | Cyberresilienz und kritische Wissensinfrastruktur | Forschungsförderung, Wissensrat und Politikberatung;Go 42;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
41;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;3;Start-ups, Deep Tech und Wirkungsinnovation | Wissenschaftskommunikation und Vertrauensbildung | Digitale Teilhabe, Kompetenz und Bildung;Go 43;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
42;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;3;Klima als Wirkungsraum | Energie als Rückgrat der Wirkung | Ressourcen und Kreislaufwirtschaft;Go 44;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
43;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;3;Wasser, Boden und Biodiversität | Kritische Rohstoffe und strategische Autonomie | Industrie, Materialien und harte Sektoren;Go 45;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
44;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;3;Energiearmut, Verteilung und gerechte Transformation | Planetare Wirkungshaushalte und Wirkungsfonds | Kommunen, Anpassung und Klimafolgen;Go 46;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
45;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;2;Regeneration und Natur als Infrastruktur | Produkt-, Gebäude- und Infrastrukturwirkung;Go 47;"Phase-reines Produktionspaket; maximal 3 Detailkonzepte."
