slug,title,pack_term,required_sections_complete,min_internal_links_met,sources_complete,metadata_complete,slug_valid,no_dead_links,language_redlines_ok,no_duplicate_conflict,search_indexed,pack_coverage_ok,score,rating
"abfallhierarchie","Abfallhierarchie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"abregelung","Abregelung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ac-laden","AC-Laden",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ad-hoc-laden","Ad-hoc-Laden",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"adam-smith","Adam Smith",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"adverse-selection","Adverse Selection",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"advocacy-organisation","Advocacy-Organisation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"aeussere-loops","Äußere Loops",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"affekt","Affekt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"affektheuristik","Affektheuristik",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"agenda-2030","Agenda 2030",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"agenda-setting","Agenda-Setting",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"akkumulation","Akkumulation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"akkumulator","Akkumulator / Akku",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"alan-watts-daoismus","Alan Watts / Daoismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"alarm-frame","Alarm-Frame / Bedrohungsframe",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"algorithmische-fairness","Algorithmische Fairness und digitale Rechte",true,0,1,1,1,1,0,0,1,1,1,7,"nacharbeiten"
"allgemeines-gleichgewicht","Allgemeines Gleichgewicht",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"allmendeproblem","Allmendeproblem",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"allokation","Allokation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"alltagsrassismus","Alltagsrassismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"amartya-sen","Amartya Sen",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"anaerobe-vergaerung","Anaerobe Vergärung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"anarchokapitalismus","Anarchokapitalismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ankereffekt","Ankereffekt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"anlagenpass","Anlagenpass",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"anpassungskapazitaet","Anpassungskapazität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"anschlussfaehigkeit","Anschlussfähigkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"anschlusskosten","Anschlusskosten",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"anschlussleistung","Anschlussleistung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"antisemitismus","Antisemitismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"antiziganismus","Antiziganismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"arbeiten-arendt","Arbeiten",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"arbeitspreis","Arbeitspreis",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"arbitrageur","Arbitrageur",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"archetyp","Archetyp",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"art-20a-gg","Art. 20a GG",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"assurance","Assurance",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"astroturfing","Astroturfing",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"atlas-network","Atlas Network",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"attributionsforschung","Attributionsforschung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"aufmerksamkeit","Aufmerksamkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"aufmerksamkeitsoekonomie","Aufmerksamkeitsökonomie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"austeritaet","Austerität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"autokratie","Autokratie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"autokratisierung","Autokratisierung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"automatisierung","Automatisierung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"automatisierungsdividende","Automatisierungsdividende",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"automatisierungsrendite","Automatisierungsrendite",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"autonome-systeme","Autonome Systeme",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"autopoiesis","Autopoiesis",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"autoritaeres-wirkungspotenzial","Autoritäres Wirkungspotenzial",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"autoritarismus","Autoritarismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"backend-ladeinfrastruktur","Backend Ladeinfrastruktur",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"backup-kapazitaet","Backup-Kapazität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"banalitaet-des-boesen","Banalität des Bösen",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"bandluecke","Bandlücke",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"baseline-verschiebung","Baseline-Verschiebung",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"basisinnovation","Basisinnovation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batterie","Batterie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"batteriealterung","Batteriealterung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batterielebenszyklus","Batterielebenszyklus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batteriemanagementsystem","Batteriemanagementsystem / BMS",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"batteriemodul","Batteriemodul",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batteriepack","Batteriepack",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batteriepass","Batteriepass",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"batterierecycling","Batterierecycling",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"batterierohstoffe","Batterierohstoffe",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"batteriespeicher","Batteriespeicher",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"batteriezelle","Batteriezelle",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"baukostenzuschuss","Baukostenzuschuss",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
