WOK_ID,SDG_or_SDGplus,Target,Indikatorfamilie,Item,Definition,Einheit,Polarity,Rule_ID,Schwellen,Schwellenkategorie,Schwellenstatus,Grenzwertbasis,Benchmarkbedarf,Quelle_detail,Quellenfunktion,Quellenstatus,Source_IDs,NACE_Legacy,NACE_Version,NACE_Rev2.1,NACE_Status,Systemgrenze,Berechnungslogik,Datenqualitätsanforderung,Assurance_Anforderung,Fachlogik_Status,Prüfpriorität,Prüfhinweis,Version,Gültig_ab,Gültig_bis
WOK-S-101,SDG 1 – Keine Armut,1.2,Faire Arbeit & Einkommen,Faire Arbeit & Einkommen – Living Wage,Abdeckung Lebenslohn,% Beschäftigte,higher_is_better,R27,≥95:+3; 80–94:+2; 60–79:0; 40–59:‑2; <40:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Anteil Beschäftigte ≥ Living Wage (zertifizierte Methodik).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-102,SDG 1 – Keine Armut,1.2,Faire Arbeit & Einkommen,Faire Arbeit & Einkommen – Tarifbindung,Beschäftigte unter Kollektivvertrag,%,higher_is_better,R26,≥90:+3; 70–89:+2; 50–69:0; 30–49:‑2; <30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-103,SDG 1 – Keine Armut,1.2,Faire Arbeit & Einkommen,Faire Arbeit & Einkommen – LTIFR,Arbeitsunfälle pro Mio Stunden,Unfälle/Mio Std.,lower_is_better,R02,0:+3; ≤1:+2; ≤3:0; ≤5:‑2; >5:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",LTIFR = Unfälle mit Ausfallzeit / 1 Mio. Std. (ILO/GRI 403).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-104,SDG 1 – Keine Armut,1.3,Sozialschutz & Benefits,Sozialschutz & Benefits – Living Wage,Abdeckung Lebenslohn,% Beschäftigte,higher_is_better,R27,≥95:+3; 80–94:+2; 60–79:0; 40–59:‑2; <40:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Anteil Beschäftigte ≥ Living Wage (zertifizierte Methodik).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-105,SDG 1 – Keine Armut,1.3,Sozialschutz & Benefits,Sozialschutz & Benefits – Tarifbindung,Beschäftigte unter Kollektivvertrag,%,higher_is_better,R26,≥90:+3; 70–89:+2; 50–69:0; 30–49:‑2; <30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-S-106,SDG 1 – Keine Armut,1.3,Sozialschutz & Benefits,Sozialschutz & Benefits – LTIFR,Arbeitsunfälle pro Mio Stunden,Unfälle/Mio Std.,lower_is_better,R02,0:+3; ≤1:+2; ≤3:0; ≤5:‑2; >5:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S1, GRI 401/403/405/406, ILO","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; ISO-45001; ILO-LW; ILO-CORE,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,"Eigene Belegschaft/Organisation; FTE, Beschäftigtengruppe und Zeitraum",LTIFR = Unfälle mit Ausfallzeit / 1 Mio. Std. (ILO/GRI 403).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SC-101,SDG 1 – Keine Armut,1.2,Living‑Wage in Lieferkette,Living‑Wage in Lieferkette – ESG‑Spend‑Coverage,Anteil verifizierter ESG‑Daten am Spend,%,higher_is_better,R26,≥90:+3; 70–89:+2; 50–69:0; 30–49:‑2; <30:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S2, GRI 308/414, OECD Due Diligence","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-DD; ILO-CORE,C20 Chemie; C24 Stahl; C29 Fahrzeuge,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Vorgelagerte Lieferkette; relevante Tier-Stufen und Beschaffungsvolumen,Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SC-102,SDG 1 – Keine Armut,1.2,Living‑Wage in Lieferkette,Living‑Wage in Lieferkette – Kinder/Zwangsarbeit,Audits ohne Verstöße,% Lieferanten,higher_is_better,R28,≥98:+3; 90–97:+2; 75–89:0; 50–74:‑2; <50:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS S2, GRI 308/414, OECD Due Diligence","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-DD; ILO-CORE,C20 Chemie; C24 Stahl; C29 Fahrzeuge,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Vorgelagerte Lieferkette; relevante Tier-Stufen und Beschaffungsvolumen,Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-SC-103,SDG 1 – Keine Armut,1.2,Living‑Wage in Lieferkette,Living‑Wage in Lieferkette – Scope‑3 Daten,Primärdaten‑Abdeckung,% Kategorien,higher_is_better,R23,≥80:+3; 60–79:+2; 40–59:0; 20–39:‑2; <20:‑3,Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS E1, GHG Protocol (Corporate/Scope 1–3), ISO 14064/14067","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GHG-CORP; GHG-S3; GHG-PROD,C20 Chemie; C24 Stahl; C29 Fahrzeuge,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Vorgelagerte Lieferkette; relevante Tier-Stufen und Beschaffungsvolumen,Quote = Zähler / Nenner gemäß Quelle; in %.,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
WOK-G-101,SDG 1 – Keine Armut,1.b,Pay Ratio & Fairness,Pay Ratio & Fairness – Antikorruption,Bestätigte Fälle/1.000 FTE,Fälle/1.000 FTE,lower_is_better,R01,"0:+3; ≤0,2:+2; ≤0,5:0; ≤1:‑2; >1:‑3",Feste WÖk-Kalibrierung,Arbeitskalibrierung – fachlich zu validieren,WÖk-interne Klassenlogik,Optional/Nein,"ESRS G1, GRI 205/207, OECD Anti‑Bribery","Mess-, Berichts- oder Managementrahmen; Schwellen sind grundsätzlich WÖk-Kalibrierungen",Messgrundlage belegt; Schwellenkalibrierung offen,EU-ESRS; GRI; OECD-AB,G47 Handel; K Versicherungen; M72 F&E,Legacy / nicht explizit versioniert,,Migration auf NACE Rev. 2.1 erforderlich,Organisation/Governance; konsolidierter Kreis und relevante Rechtseinheiten,Siehe Quelle: Definition gemäß Standard (ESRS/GRI/Taxonomie/ISO).,Primärdaten bevorzugt; Sekundärdaten nur transparent und versioniert; Methode und Systemgrenze dokumentieren,Limited Assurance; risikobasiert höhere Prüftiefe,Strukturell nutzbar; Schwellen fachlich zu validieren,Mittel,Vollständige fünfstufige numerische Regel.,v1.4,2026-08-16,
