rang,tool_name,description,status,target_slug,required_fields,qa_status
0,SDG-/SDG+-Navigator,"Zuordnung von SDGs, Agenda 2030 und SDG+ zu Portalen, Dokumenten und Wirkungsfeldern.",Demo in Vorbereitung,/tools/sdg-sdg-navigator/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
1,Produktwirkungs-Scorecard,"Bewertung von Produkten nach Klima, Ressourcen, Arbeit, Gesundheit und Nichtkompensation.",Demo in Vorbereitung,/tools/produktwirkungs-scorecard/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
2,T-SROI-Rechner,Berechnung und Dokumentation von Transformationswirkung und Netto-Wirkung.,Demo in Vorbereitung,/tools/t-sroi-rechner/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
3,Wirkungsrats-Register,"Uebersicht ueber WOE-K-IDs, Benchmarks, Archetypen und Evaluation.",Demo in Vorbereitung,/tools/wirkungsrats-register/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
4,Unternehmens-Wirkungsradar,"Pruefung von Governance, Lieferketten, Risiko, Kapitalzugang und Transformation.",Demo in Vorbereitung,/tools/unternehmens-wirkungsradar/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
5,Wohnungsmarkt-Wirkungsprofil,"Bewertung von Bezahlbarkeit, Energie, Quartier, Spekulation und Sozialraum.",Demo in Vorbereitung,/tools/wohnungsmarkt-wirkungsprofil/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
6,Automatisierungs- und Wirkungseinkommen-Check,"Bewertung von Maschinenleistung, Sozialabgabenentkopplung und Sinnstiftung.",Demo in Vorbereitung,/tools/automatisierungs-und-wirkungseinkommen-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
7,Wirkungsrenten-Matrix,"Bewertung von Lebensleistung, Care, Bildung, Pflege und generationeller Stabilitaet.",Demo in Vorbereitung,/tools/wirkungsrenten-matrix/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
8,Wirkungsschule-Lernpfad,"Curriculum fuer Wirkungskompetenz, Civic Literacy, Medienkompetenz und Zukunftsfaehigkeit.",Demo in Vorbereitung,/tools/wirkungsschule-lernpfad/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
9,Diskurs- und Plattformradar,"Pruefung von Medienwirkung, Frames, Polarisierung und Desinformation.",Demo in Vorbereitung,/tools/diskurs-und-plattformradar/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
10,Gesundheitswirkungs-Monitor,"Bewertung von Praevention, Pflege, Zugang, Psyche und One Health.",Demo in Vorbereitung,/tools/gesundheitswirkungs-monitor/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
11,Wissenschafts-Wirkungsindikatoren,"Pruefung von Forschung, Replikation, Open Science und Politikberatung.",Demo in Vorbereitung,/tools/wissenschafts-wirkungsindikatoren/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
12,Kapitalwirkungs-Portfolio,"Bewertung von Portfolio-Wirkung, Wirkungsrisiko, Versicherbarkeit und Fondslogik.",Demo in Vorbereitung,/tools/kapitalwirkungs-portfolio/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
13,Planetarer Wirkungshaushalt,"Klima, Energie, Ressourcen, Wasser, Boden und Biodiversitaet als Wirkungshaushalt.",Demo in Vorbereitung,/tools/planetarer-wirkungshaushalt/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
14,Kultur-Resonanzprofil,"Bewertung von Resonanzraeumen, Identitaet, kultureller Teilhabe und Demokratiebindung.",Demo in Vorbereitung,/tools/kultur-resonanzprofil/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
15,Integrations-Infrastruktur-Score,Kommunale Integrationsfaehigkeit ohne Personenbewertung.,Demo in Vorbereitung,/tools/integrations-infrastruktur-score/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
16,Resilienz-Radar Kommune,"Pruefung von kritischer Infrastruktur, Versorgung, Cyber, Krisenfaehigkeit und Vertrauen.",Demo in Vorbereitung,/tools/resilienz-radar-kommune/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
17,Wirkungsdatenraum-Explorer,"Datenraeume, DPP, KI-Audit, Interoperabilitaet und digitale Souveraenitaet.",Demo in Vorbereitung,/tools/wirkungsdatenraum-explorer/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
18,Wissensintegritaets-Check,"Open Science, CoARA/DORA-Anschluss, Replikation, Statistik und Sachverstaendige.",Demo in Vorbereitung,/tools/wissensintegritaets-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
19,Globaler Wirkungsgovernance-Check,"Handel, Lieferketten, CBAM, globale Standards und kulturelle Anschlussfaehigkeit.",Demo in Vorbereitung,/tools/globaler-wirkungsgovernance-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
20,Transformationspfad-Planer,"Pilotierung, Reallabore, soziale Abfederung, Wirkungsfonds und Lernschleifen.",Demo in Vorbereitung,/tools/transformationspfad-planer/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
21,Schutzarchitektur-Check,"Technokratie, Social Credit, Manipulation, Rechtsschutz und Fehlbarkeit.",Demo in Vorbereitung,/tools/schutzarchitektur-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
22,Zukunftsbild-Generator,"Alltag 2035, Unternehmen 2035, Staat 2035 und globale Ordnung 2050 als Szenarioarbeit.",Demo in Vorbereitung,/tools/zukunftsbild-generator/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
23,Akademie-Lernpfad-Builder,"Kurse, Zertifikate, Fachbibliothek, Begriffsarbeit und Wirkungskompetenz.",Demo in Vorbereitung,/tools/akademie-lernpfad-builder/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
24,Website-1.0-Release-Gate,"Linkcheck, Downloadcheck, Glossarcheck, Mobile-QA und Masterbibliothek.",Release-Tool in Vorbereitung,/tools/website-1-0-release-gate/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
