Rang;Bereich;Bestand behalten?;Neue Einordnung vorhandener Grobkonzepte;Was gezielt vertiefen?;Sofortmaßnahme für Website
0;SDG-/SDG+-Referenzrahmen;Ja;Referenzportal und Einstieg;Go-3/Go-4-Detailkonzepte integrieren, Unterzielmatrix und Geschichte vertiefen;Vertiefungsbereich ergänzen, alte Übersicht behalten
1;Produkte & Konsum / Wirkungsumsatzsteuer;Ja;Portal-Grundkonzept und starke Arbeitspapiere;WUStG, Produktwirkung, Lieferketten, Apfel, BASF/Polyamid;Downloads und Online-Volltexte korrekt klassifizieren
2;Impact Controlling / T-SROI / WÖk-IDs / Scorecards;Ja;Methodenportal und Toolgrundlage;T-SROI, NWI, WÖk-IDs, Scorecards, Reverse Merit Order;Methodenpapiere statt Fachdetailkonzept-Label
3;Staat, Recht & Demokratie;Ja;Rechts- und Governanceportal;WStG, Wirkungshaushalt, Wirkungsrat, Rechtsschutz, Grundrechte;LawReader und politische Anschlussfähigkeit stärken
4;Wirtschaft & Unternehmen;Ja;Portal-Grundkonzept;Führung, Risiko, Lieferketten, Mitarbeiterführung, Marketing 5. P, Finanzmarktanforderungen;Bestand behalten, Unterbereiche als Vertiefung ergänzen
5;Wohnen & Stadt;Ja;Portal-Grundkonzept plus starkes Working Paper;Vermieter/Investor, Spekulation, Sanierung, Boden, Quartier, kommunale Wirkung;Investor/Vermieter-Konzept als Referenz einbauen
6;Arbeit & Einkommen / Automatisierung;Ja;Portaltext und Kurzprofile;Sozialabgaben-Entkopplung, Wirkungseinkommen, Maschinenwertschöpfung, Automatisierungsdividende;Unterbereichstexte als Kurzprofile umbenennen, Detailstatus anzeigen
7;Rente & soziale Sicherung;Ja;WP Rente als Hauptgrundlage;Wirkungsrente, Lebenswirkungs-Konto, Care, Fonds, Demografie;WP als Volltext/Download prominent machen
8;Bildung / Wirkungsschule;Ja;Portaltext und Wirkungsschulkonzept;Bewertung, Fach Zukunft, Wirkungspädagogik, Portfolio, Förderung, Schulmodell;Nicht ersetzen, UX Online-Lesen und Downloads verbessern
9;Medien, Social Media & Journalismus;Ja;Portal-Grundkonzept;Plattformen, Journalismus, Desinformation, Creator, Diskurskultur, Medienqualität;Grobtext behalten, Vertiefungen nachliefern
10;Gesundheit & Pflege;Ja;Portal-Grundkonzept/Kurzüberblick;Gesundheitskassen, Prävention, Pflege, Mental Health, One Health, Daten;Kurztexte korrekt labeln, Detailkonzepte gezielt nachliefern
11;Wissenschaft, Innovation & Digitalisierung;Ja;Portal-Grundkonzept;Wissenschaftsinfrastruktur, KI, Datenräume, Open Science, digitale Souveränität;Portal behalten, Fachdetailkonzepte ergänzen
12;Finanzsystem & Kapital;Ja;Portal-Grundkonzept;Kapitalwirkung, Wirkungsfonds, Banken, Versicherungen, ESG, Vermögen/Erbschaft, Automatisierungsdividende;Finanzierungsarchitektur klar bündeln
13;Klima, Energie & Ressourcen;Ja;Masterdokumente als Portal-Grundkonzept/Gesamtdossier/Toolgrundlage;Energie, Kreislauf, Wasser/Boden/Biodiversität, Rohstoffe, Industrie, Anpassung;4 Masterdokumente umbenennen, nicht als 12 Detailkonzepte verkaufen
14;Kultur, Identität & Resonanz;Noch neu;Neu als Portal-Grundkonzept beginnen;Kultur, Resonanz, Narrative, Identität, Teilhabe, Erinnerung, Zusammenhalt;Neu erstellen, aber von Anfang an richtige Dokumenttypen
