rang,tool_name,description,status,target_slug,required_fields,qa_status
0,SDG-/SDG+-Navigator,"Zuordnung von SDGs, Agenda 2030 und SDG+ zu Portalen, Dokumenten und Wirkungsfeldern.",Methodik vorbereitet,/tools/sdg-sdg-navigator/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
1,Produktwirkungs-Scorecard,"Bewertung von Produkten nach Klima, Ressourcen, Arbeit, Gesundheit und Nichtkompensation.",Methodik vorbereitet,/tools/produktwirkungs-scorecard/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
2,T-SROI-Rechner,Berechnung und Dokumentation von Transformationswirkung und Netto-Wirkung.,Methodik vorbereitet,/tools/t-sroi-rechner/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
3,Wirkungsrats-Register,"Uebersicht ueber WOE-K-IDs, Benchmarks, Archetypen und Evaluation.",Methodik vorbereitet,/tools/wirkungsrats-register/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
4,Unternehmens-Wirkungsradar,"Pruefung von Governance, Lieferketten, Risiko, Kapitalzugang und Transformation.",Methodik vorbereitet,/tools/unternehmens-wirkungsradar/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
5,Wohnungsmarkt-Wirkungsprofil,"Bewertung von Bezahlbarkeit, Energie, Quartier, Spekulation und Sozialraum.",Methodik vorbereitet,/tools/wohnungsmarkt-wirkungsprofil/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
6,Automatisierungs- und Wirkungseinkommen-Check,"Bewertung von Maschinenleistung, Sozialabgabenentkopplung und Sinnstiftung.",Methodik vorbereitet,/tools/automatisierungs-und-wirkungseinkommen-check/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
7,Wirkungsrenten-Matrix,"Bewertung von Lebensleistung, Care, Bildung, Pflege und generationeller Stabilitaet.",Methodik vorbereitet,/tools/wirkungsrenten-matrix/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
8,Wirkungsschule-Lernpfad,"Curriculum fuer Wirkungskompetenz, Civic Literacy, Medienkompetenz und Zukunftsfaehigkeit.",Methodik vorbereitet,/tools/wirkungsschule-lernpfad/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
9,Diskurs- und Plattformradar,"Pruefung von Medienwirkung, Frames, Polarisierung und Desinformation.",Methodik vorbereitet,/tools/diskurs-und-plattformradar/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
10,Gesundheitswirkungs-Monitor,"Bewertung von Praevention, Pflege, Zugang, Psyche und One Health.",Methodik vorbereitet,/tools/gesundheitswirkungs-monitor/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
11,Wissenschafts-Wirkungsindikatoren,"Pruefung von Forschung, Replikation, Open Science und Politikberatung.",Methodik vorbereitet,/tools/wissenschafts-wirkungsindikatoren/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
12,Kapitalwirkungs-Portfolio,"Bewertung von Portfolio-Wirkung, Wirkungsrisiko, Versicherbarkeit und Fondslogik.",Methodik vorbereitet,/tools/kapitalwirkungs-portfolio/,"Beschreibung, Nutzen, Zielgruppe, Status, Link",auf Website pruefen
