Gesamtfolge;Produktionspaket;Position im Paket;Phase;Phasentitel;Rang;Portal / Bereich;Unterbereich;Dokumenttyp;Priorität;Komplexität;Abhängigkeit / Vorleistung;Warum in dieser Reihenfolge;Slug;Status;Nächster Schritt
1;1;1;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;SDGs und Agenda 2030 als globaler Referenzrahmen;Referenz-Detailkonzept;P1;mittel;"keine; Grundlage für alle späteren Portale";Alle späteren Konzepte brauchen diesen Bewertungsrahmen.;sdgs-und-agenda-2030-als-globaler-referenzrahmen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
2;1;2;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;SDG+ als Erweiterung der Wirkungsökonomie;Referenz-Detailkonzept;P1;hoch;"keine; Grundlage für alle späteren Portale";Alle späteren Konzepte brauchen diesen Bewertungsrahmen.;sdg-als-erweiterung-der-wirkungsoekonomie;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
3;1;3;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;SDG-Unterziele global, Europa und Deutschland;Referenz-Detailkonzept;P1;hoch;"keine; Grundlage für alle späteren Portale";Alle späteren Konzepte brauchen diesen Bewertungsrahmen.;sdg-unterziele-global-europa-und-deutschland;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
4;2;1;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;Geschichte der SDGs, Vorlaeufer und Verhandlungsprozess;Referenz-Detailkonzept;P1;mittel;"keine; Grundlage für alle späteren Portale";Alle späteren Konzepte brauchen diesen Bewertungsrahmen.;geschichte-der-sdgs-vorlaeufer-und-verhandlungsprozess;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
5;2;2;Phase 1;Referenzrahmen & Wirkungslogik;0;SDG-/SDG+-Referenzrahmen;SDGs als Risikomanagement und Finanzmarkt-Anschluss;Referenz-Detailkonzept;P1;mittel;"keine; Grundlage für alle späteren Portale";Alle späteren Konzepte brauchen diesen Bewertungsrahmen.;sdgs-als-risikomanagement-und-finanzmarkt-anschluss;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
6;3;1;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;Produkte als Wirkungsträger;Fach-Detailkonzept;P1;mittel;"SDG-/SDG+-Referenzrahmen; WÖk-IDs/Scorecards methodisch parallel";Der praktische Kern der Wirkungsökonomie wird an Preisen und Produkten sichtbar.;produkte-als-wirkungstraeger;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
7;3;2;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;Produktbesteuerung durch Wirkung;Fach-Detailkonzept;P1;mittel;"SDG-/SDG+-Referenzrahmen; WÖk-IDs/Scorecards methodisch parallel";Der praktische Kern der Wirkungsökonomie wird an Preisen und Produkten sichtbar.;produktbesteuerung-durch-wirkung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
8;3;3;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;Wirkungsumsatzsteuer WUStG;Fach-Detailkonzept;P1;hoch;"SDG-/SDG+-Referenzrahmen; WÖk-IDs/Scorecards methodisch parallel";Der praktische Kern der Wirkungsökonomie wird an Preisen und Produkten sichtbar.;wirkungsumsatzsteuer-wustg;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
9;4;1;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;Lieferketten und Vorsteuerlogik;Fach-Detailkonzept;P1;mittel;"SDG-/SDG+-Referenzrahmen; WÖk-IDs/Scorecards methodisch parallel";Der praktische Kern der Wirkungsökonomie wird an Preisen und Produkten sichtbar.;lieferketten-und-vorsteuerlogik;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
10;4;2;Phase 2;Produkte, WUStG & Preisrückkopplung;1;Produkte & Konsum / Wirkungsumsatzsteuer;Verbraucherinformation und Wirkungspunkte;Fach-Detailkonzept;P1;mittel;"SDG-/SDG+-Referenzrahmen; WÖk-IDs/Scorecards methodisch parallel";Der praktische Kern der Wirkungsökonomie wird an Preisen und Produkten sichtbar.;verbraucherinformation-und-wirkungspunkte;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
